POSITION,CLUBS,MP,PTS,W-D-L,GF,GA,GD,HOME,AWAY
1,Levante,42,79,22-13-7,69,42,27,13-7-1,9-6-6
2,Elche,42,77,22-11-9,59,34,25,15-3-3,7-8-6
3,Real Oviedo,42,75,21-12-9,56,42,14,14-3-4,7-9-5
4,Mirandés,42,75,22-9-11,59,40,19,15-5-1,7-4-10
5,Racing Sant.,42,71,20-11-11,65,51,14,11-6-4,9-5-7
6,Almería,42,69,19-12-11,72,55,17,13-7-1,6-5-10
7,Granada,42,65,18-11-13,65,54,11,10-7-4,8-4-9
8,SD Huesca,42,64,18-10-14,58,49,9,12-5-4,6-5-10
9,Eibar,42,58,15-13-14,44,41,3,11-6-4,4-7-10
10,Albacete,42,58,15-13-14,57,57,0,11-6-4,4-7-10
11,Sporting Gijón,42,56,14-14-14,57,54,3,10-7-4,4-7-10
12,Burgos,42,55,15-10-17,41,48,-7,10-4-7,5-6-10
13,Cádiz,42,55,14-13-15,55,53,2,9-7-5,5-6-10
14,Córdoba,42,55,14-13-15,59,63,-4,8-8-5,6-5-10
15,Deportivo,42,53,13-14-15,56,54,2,6-8-7,7-6-8
16,Málaga,42,53,12-17-13,42,46,-4,10-5-6,2-10-7
17,Castellón,42,53,14-11-17,65,63,2,9-5-7,5-6-10
18,Real Zaragoza,42,51,13-12-17,56,63,-7,7-7-7,6-5-10
19,Eldense,42,45,11-12-19,44,63,-19,6-7-8,5-5-11
20,Tenerife,42,36,8-12-22,35,55,-20,1-5-15,7-7-7
21,Racing de Ferrol,42,30,6-12-24,22,64,-42,3-5-13,3-7-11
22,Cartagena,42,23,6-5-31,33,78,-45,2-2-17,4-3-14
