position,team,matches_played,points,goals_for,goals_against,goals_difference,home_record,away_record,W,D,L
1,Levante,42,79,69,42,27,13-7-1,9-6-6,22,13,7
2,Elche,42,77,59,34,25,15-3-3,7-8-6,22,11,9
3,Real Oviedo,42,75,56,42,14,14-3-4,7-9-5,21,12,9
4,CD Mirandes,42,75,59,40,19,15-5-1,7-4-10,22,9,11
5,Racing Santander,42,71,65,51,14,11-6-4,9-5-7,20,11,11
6,Almeria,42,69,72,55,17,13-7-1,6-5-10,19,12,11
7,Granada,42,65,65,54,11,10-7-4,8-4-9,18,11,13
8,SD Huesca,42,64,58,49,9,12-5-4,6-5-10,18,10,14
9,Eibar,42,58,44,41,3,11-6-4,4-7-10,15,13,14
10,Albacete,42,58,57,57,0,11-6-4,4-7-10,15,13,14
11,Sporting Gijon,42,56,57,54,3,10-7-4,4-7-10,14,14,14
12,Burgos CF,42,55,41,48,-7,10-4-7,5-6-10,15,10,17
13,Cadiz,42,55,55,53,2,9-7-5,5-6-10,14,13,15
14,Cordoba,42,55,59,63,-4,8-8-5,6-5-10,14,13,15
15,Deportivo La Coruña,42,53,56,54,2,6-8-7,7-6-8,13,14,15
16,Malaga,42,53,42,46,-4,10-5-6,2-10-7,12,17,13
17,Castellon,42,53,65,63,2,9-5-7,5-6-10,14,11,17
18,Real Zaragoza,42,51,56,63,-7,7-7-7,6-5-10,13,12,17
19,Eldense,42,45,44,63,-19,6-7-8,5-5-11,11,12,19
20,Tenerife,42,36,35,55,-20,1-5-15,7-7-7,8,12,22
21,Racing de Ferrol,42,30,22,64,-42,3-5-13,3-7-11,6,12,24
22,Cartagena,42,23,33,78,-45,2-2-17,4-3-14,6,5,31
